Date,type,title_id,from_day,status,year,year_iso,quarter,month,week_iso,day_of_month,day_of_week
2013-09-26,,,,Рабочий,2013,2013,3,9,39,26,4
2013-09-27,,,,Рабочий,2013,2013,3,9,39,27,5
2013-09-28,,,,Выходной,2013,2013,3,9,39,28,6
2013-09-29,,,,Выходной,2013,2013,3,9,39,29,7
2013-09-30,,,,Рабочий,2013,2013,3,9,40,30,1
2013-10-01,,,,Рабочий,2013,2013,4,10,40,1,2
2013-10-02,,,,Рабочий,2013,2013,4,10,40,2,3
2013-10-03,,,,Рабочий,2013,2013,4,10,40,3,4
2013-10-04,,,,Рабочий,2013,2013,4,10,40,4,5
2013-10-05,,,,Выходной,2013,2013,4,10,40,5,6
2013-10-06,,,,Выходной,2013,2013,4,10,40,6,7
2013-10-07,,,,Рабочий,2013,2013,4,10,41,7,1
2013-10-08,,,,Рабочий,2013,2013,4,10,41,8,2
2013-10-09,,,,Рабочий,2013,2013,4,10,41,9,3
2013-10-10,,,,Рабочий,2013,2013,4,10,41,10,4
2013-10-11,,,,Рабочий,2013,2013,4,10,41,11,5
2013-10-12,,,,Выходной,2013,2013,4,10,41,12,6
2013-10-13,,,,Выходной,2013,2013,4,10,41,13,7
2013-10-14,,,,Рабочий,2013,2013,4,10,42,14,1
2013-10-15,,,,Рабочий,2013,2013,4,10,42,15,2
2013-10-16,,,,Рабочий,2013,2013,4,10,42,16,3
2013-10-17,,,,Рабочий,2013,2013,4,10,42,17,4
2013-10-18,,,,Рабочий,2013,2013,4,10,42,18,5
2013-10-19,,,,Выходной,2013,2013,4,10,42,19,6
2013-10-20,,,,Выходной,2013,2013,4,10,42,20,7
2013-10-21,,,,Рабочий,2013,2013,4,10,43,21,1
2013-10-22,,,,Рабочий,2013,2013,4,10,43,22,2
2013-10-23,,,,Рабочий,2013,2013,4,10,43,23,3
2013-10-24,,,,Рабочий,2013,2013,4,10,43,24,4
2013-10-25,,,,Рабочий,2013,2013,4,10,43,25,5
2013-10-26,,,,Выходной,2013,2013,4,10,43,26,6
2013-10-27,,,,Выходной,2013,2013,4,10,43,27,7
2013-10-28,,,,Рабочий,2013,2013,4,10,44,28,1
2013-10-29,,,,Рабочий,2013,2013,4,10,44,29,2
2013-10-30,,,,Рабочий,2013,2013,4,10,44,30,3
2013-10-31,,,,Рабочий,2013,2013,4,10,44,31,4
2013-11-01,,,,Рабочий,2013,2013,4,11,44,1,5
2013-11-02,,,,Выходной,2013,2013,4,11,44,2,6
2013-11-03,,,,Выходной,2013,2013,4,11,44,3,7
2013-11-04,1,8,,Праздничный,2013,2013,4,11,45,4,1
2013-11-05,,,,Рабочий,2013,2013,4,11,45,5,2
2013-11-06,,,,Рабочий,2013,2013,4,11,45,6,3
2013-11-07,,,,Рабочий,2013,2013,4,11,45,7,4
2013-11-08,,,,Рабочий,2013,2013,4,11,45,8,5
2013-11-09,,,,Выходной,2013,2013,4,11,45,9,6
2013-11-10,,,,Выходной,2013,2013,4,11,45,10,7
2013-11-11,,,,Рабочий,2013,2013,4,11,46,11,1
2013-11-12,,,,Рабочий,2013,2013,4,11,46,12,2
2013-11-13,,,,Рабочий,2013,2013,4,11,46,13,3
2013-11-14,,,,Рабочий,2013,2013,4,11,46,14,4
2013-11-15,,,,Рабочий,2013,2013,4,11,46,15,5
2013-11-16,,,,Выходной,2013,2013,4,11,46,16,6
2013-11-17,,,,Выходной,2013,2013,4,11,46,17,7
2013-11-18,,,,Рабочий,2013,2013,4,11,47,18,1
2013-11-19,,,,Рабочий,2013,2013,4,11,47,19,2
2013-11-20,,,,Рабочий,2013,2013,4,11,47,20,3
2013-11-21,,,,Рабочий,2013,2013,4,11,47,21,4
2013-11-22,,,,Рабочий,2013,2013,4,11,47,22,5
2013-11-23,,,,Выходной,2013,2013,4,11,47,23,6
2013-11-24,,,,Выходной,2013,2013,4,11,47,24,7
2013-11-25,,,,Рабочий,2013,2013,4,11,48,25,1
2013-11-26,,,,Рабочий,2013,2013,4,11,48,26,2
2013-11-27,,,,Рабочий,2013,2013,4,11,48,27,3
2013-11-28,,,,Рабочий,2013,2013,4,11,48,28,4
2013-11-29,,,,Рабочий,2013,2013,4,11,48,29,5
2013-11-30,,,,Выходной,2013,2013,4,11,48,30,6
2013-12-01,,,,Выходной,2013,2013,4,12,48,1,7
2013-12-02,,,,Рабочий,2013,2013,4,12,49,2,1
2013-12-03,,,,Рабочий,2013,2013,4,12,49,3,2
2013-12-04,,,,Рабочий,2013,2013,4,12,49,4,3
2013-12-05,,,,Рабочий,2013,2013,4,12,49,5,4
2013-12-06,,,,Рабочий,2013,2013,4,12,49,6,5
2013-12-07,,,,Выходной,2013,2013,4,12,49,7,6
2013-12-08,,,,Выходной,2013,2013,4,12,49,8,7
2013-12-09,,,,Рабочий,2013,2013,4,12,50,9,1
2013-12-10,,,,Рабочий,2013,2013,4,12,50,10,2
2013-12-11,,,,Рабочий,2013,2013,4,12,50,11,3
2013-12-12,,,,Рабочий,2013,2013,4,12,50,12,4
2013-12-13,,,,Рабочий,2013,2013,4,12,50,13,5
2013-12-14,,,,Выходной,2013,2013,4,12,50,14,6
2013-12-15,,,,Выходной,2013,2013,4,12,50,15,7
2013-12-16,,,,Рабочий,2013,2013,4,12,51,16,1
2013-12-17,,,,Рабочий,2013,2013,4,12,51,17,2
2013-12-18,,,,Рабочий,2013,2013,4,12,51,18,3
2013-12-19,,,,Рабочий,2013,2013,4,12,51,19,4
2013-12-20,,,,Рабочий,2013,2013,4,12,51,20,5
2013-12-21,,,,Выходной,2013,2013,4,12,51,21,6
2013-12-22,,,,Выходной,2013,2013,4,12,51,22,7
2013-12-23,,,,Рабочий,2013,2013,4,12,52,23,1
2013-12-24,,,,Рабочий,2013,2013,4,12,52,24,2
2013-12-25,,,,Рабочий,2013,2013,4,12,52,25,3
2013-12-26,,,,Рабочий,2013,2013,4,12,52,26,4
2013-12-27,,,,Рабочий,2013,2013,4,12,52,27,5
2013-12-28,,,,Выходной,2013,2013,4,12,52,28,6
2013-12-29,,,,Выходной,2013,2013,4,12,52,29,7
2013-12-30,,,,Рабочий,2013,2014,4,12,1,30,1
2013-12-31,2,,,Рабочий,2013,2014,4,12,1,31,2
2014-01-01,1,1,,Праздничный,2014,2014,1,1,1,1,3
2014-01-02,1,1,,Праздничный,2014,2014,1,1,1,2,4
2014-01-03,1,1,,Праздничный,2014,2014,1,1,1,3,5
2014-01-04,1,1,,Праздничный,2014,2014,1,1,1,4,6
2014-01-05,1,1,,Праздничный,2014,2014,1,1,1,5,7
2014-01-06,1,1,,Праздничный,2014,2014,1,1,2,6,1
2014-01-07,1,2,,Праздничный,2014,2014,1,1,2,7,2
2014-01-08,1,1,,Праздничный,2014,2014,1,1,2,8,3
2014-01-09,,,,Рабочий,2014,2014,1,1,2,9,4
2014-01-10,,,,Рабочий,2014,2014,1,1,2,10,5
2014-01-11,,,,Выходной,2014,2014,1,1,2,11,6
2014-01-12,,,,Выходной,2014,2014,1,1,2,12,7
2014-01-13,,,,Рабочий,2014,2014,1,1,3,13,1
2014-01-14,,,,Рабочий,2014,2014,1,1,3,14,2
2014-01-15,,,,Рабочий,2014,2014,1,1,3,15,3
2014-01-16,,,,Рабочий,2014,2014,1,1,3,16,4
2014-01-17,,,,Рабочий,2014,2014,1,1,3,17,5
2014-01-18,,,,Выходной,2014,2014,1,1,3,18,6
2014-01-19,,,,Выходной,2014,2014,1,1,3,19,7
2014-01-20,,,,Рабочий,2014,2014,1,1,4,20,1
2014-01-21,,,,Рабочий,2014,2014,1,1,4,21,2
2014-01-22,,,,Рабочий,2014,2014,1,1,4,22,3
2014-01-23,,,,Рабочий,2014,2014,1,1,4,23,4
2014-01-24,,,,Рабочий,2014,2014,1,1,4,24,5
2014-01-25,,,,Выходной,2014,2014,1,1,4,25,6
2014-01-26,,,,Выходной,2014,2014,1,1,4,26,7
2014-01-27,,,,Рабочий,2014,2014,1,1,5,27,1
2014-01-28,,,,Рабочий,2014,2014,1,1,5,28,2
2014-01-29,,,,Рабочий,2014,2014,1,1,5,29,3
2014-01-30,,,,Рабочий,2014,2014,1,1,5,30,4
2014-01-31,,,,Рабочий,2014,2014,1,1,5,31,5
2014-02-01,,,,Выходной,2014,2014,1,2,5,1,6
2014-02-02,,,,Выходной,2014,2014,1,2,5,2,7
2014-02-03,,,,Рабочий,2014,2014,1,2,6,3,1
2014-02-04,,,,Рабочий,2014,2014,1,2,6,4,2
2014-02-05,,,,Рабочий,2014,2014,1,2,6,5,3
2014-02-06,,,,Рабочий,2014,2014,1,2,6,6,4
2014-02-07,,,,Рабочий,2014,2014,1,2,6,7,5
2014-02-08,,,,Выходной,2014,2014,1,2,6,8,6
2014-02-09,,,,Выходной,2014,2014,1,2,6,9,7
2014-02-10,,,,Рабочий,2014,2014,1,2,7,10,1
2014-02-11,,,,Рабочий,2014,2014,1,2,7,11,2
2014-02-12,,,,Рабочий,2014,2014,1,2,7,12,3
2014-02-13,,,,Рабочий,2014,2014,1,2,7,13,4
2014-02-14,,,,Рабочий,2014,2014,1,2,7,14,5
2014-02-15,,,,Выходной,2014,2014,1,2,7,15,6
2014-02-16,,,,Выходной,2014,2014,1,2,7,16,7
2014-02-17,,,,Рабочий,2014,2014,1,2,8,17,1
2014-02-18,,,,Рабочий,2014,2014,1,2,8,18,2
2014-02-19,,,,Рабочий,2014,2014,1,2,8,19,3
2014-02-20,,,,Рабочий,2014,2014,1,2,8,20,4
2014-02-21,,,,Рабочий,2014,2014,1,2,8,21,5
2014-02-22,,,,Выходной,2014,2014,1,2,8,22,6
2014-02-23,1,3,,Праздничный,2014,2014,1,2,8,23,7
2014-02-24,2,,,Рабочий,2014,2014,1,2,9,24,1
2014-02-25,,,,Рабочий,2014,2014,1,2,9,25,2
2014-02-26,,,,Рабочий,2014,2014,1,2,9,26,3
2014-02-27,,,,Рабочий,2014,2014,1,2,9,27,4
2014-02-28,,,,Рабочий,2014,2014,1,2,9,28,5
2014-03-01,,,,Выходной,2014,2014,1,3,9,1,6
2014-03-02,,,,Выходной,2014,2014,1,3,9,2,7
2014-03-03,,,,Рабочий,2014,2014,1,3,10,3,1
2014-03-04,,,,Рабочий,2014,2014,1,3,10,4,2
2014-03-05,,,,Рабочий,2014,2014,1,3,10,5,3
2014-03-06,,,,Рабочий,2014,2014,1,3,10,6,4
2014-03-07,2,,,Рабочий,2014,2014,1,3,10,7,5
2014-03-08,1,4,,Праздничный,2014,2014,1,3,10,8,6
2014-03-09,,,,Выходной,2014,2014,1,3,10,9,7
